,breakdown,auc,disease,Age Range,Gender
0,MND|50-70|Male|Carriers,0.46745562130177515,MND,50-70,Male
1,MND|50-70|Male|Carriers,0.5251479289940828,MND,50-70,Male
2,MND|50-70|Male|Non Carriers,0.375,MND,50-70,Male
3,MND|50-70|Male|Non Carriers,0.478515625,MND,50-70,Male
4,MND|50-70|Male|All,0.5451843043995244,MND,50-70,Male
5,MND|50-70|Male|All,0.5151605231866826,MND,50-70,Male
6,MND|50-70|Female|Carriers,0.34375,MND,50-70,Female
7,MND|50-70|Female|Carriers,0.6440972222222222,MND,50-70,Female
8,MND|50-70|Female|Non Carriers,0.4537037037037037,MND,50-70,Female
9,MND|50-70|Female|Non Carriers,0.6049382716049382,MND,50-70,Female
10,MND|50-70|Female|All,0.5072222222222222,MND,50-70,Female
11,MND|50-70|Female|All,0.4330555555555555,MND,50-70,Female
12,MND|50-70|All|Carriers,0.5444,MND,50-70,All
13,MND|50-70|All|Carriers,0.6112000000000001,MND,50-70,All
14,MND|50-70|All|Non Carriers,0.4249107330392774,MND,50-70,All
15,MND|50-70|All|Non Carriers,0.5030455786599454,MND,50-70,All
16,MND|50-70|All|All,0.49576271186440674,MND,50-70,All
17,MND|50-70|All|All,0.49791726515369145,MND,50-70,All
18,MND|55-70|Male|Carriers,0.5935727788279772,MND,55-70,Male
19,MND|55-70|Male|Carriers,0.4669187145557656,MND,55-70,Male
20,MND|55-70|Male|Non Carriers,0.5943877551020408,MND,55-70,Male
21,MND|55-70|Male|Non Carriers,0.5012755102040817,MND,55-70,Male
22,MND|55-70|Male|All,0.4922337278106509,MND,55-70,Male
23,MND|55-70|Male|All,0.4726331360946746,MND,55-70,Male
24,MND|55-70|Female|Carriers,0.5215419501133787,MND,55-70,Female
25,MND|55-70|Female|Carriers,0.4693877551020408,MND,55-70,Female
26,MND|55-70|Female|Non Carriers,0.53515625,MND,55-70,Female
27,MND|55-70|Female|Non Carriers,0.4384765625,MND,55-70,Female
28,MND|55-70|Female|All,0.5713777144891421,MND,55-70,Female
29,MND|55-70|Female|All,0.7048771804912781,MND,55-70,Female
30,MND|55-70|All|Carriers,0.5351239669421488,MND,55-70,All
31,MND|55-70|All|Carriers,0.4524793388429752,MND,55-70,All
32,MND|55-70|All|Non Carriers,0.46611111111111114,MND,55-70,All
33,MND|55-70|All|Non Carriers,0.5083333333333333,MND,55-70,All
34,MND|55-70|All|All,0.4997226331360946,MND,55-70,All
35,MND|55-70|All|All,0.5180288461538461,MND,55-70,All
36,MND|60-70|Male|Carriers,0.4127423822714681,MND,60-70,Male
37,MND|60-70|Male|Carriers,0.5983379501385041,MND,60-70,Male
38,MND|60-70|Male|Non Carriers,0.5141776937618148,MND,60-70,Male
39,MND|60-70|Male|Non Carriers,0.5935727788279773,MND,60-70,Male
40,MND|60-70|Male|All,0.48866213151927435,MND,60-70,Male
41,MND|60-70|Male|All,0.4268707482993197,MND,60-70,Male
42,MND|60-70|Female|Carriers,0.7162629757785467,MND,60-70,Female
43,MND|60-70|Female|Carriers,0.36678200692041524,MND,60-70,Female
44,MND|60-70|Female|Non Carriers,0.49112426035502954,MND,60-70,Female
45,MND|60-70|Female|Non Carriers,0.6301775147928994,MND,60-70,Female
46,MND|60-70|Female|All,0.49540292049756623,MND,60-70,Female
47,MND|60-70|Female|All,0.5792320173066522,MND,60-70,Female
48,MND|60-70|All|Carriers,0.5408950617283951,MND,60-70,All
49,MND|60-70|All|Carriers,0.5794753086419754,MND,60-70,All
50,MND|60-70|All|Non Carriers,0.3956684714702208,MND,60-70,All
51,MND|60-70|All|Non Carriers,0.49562682215743437,MND,60-70,All
52,MND|60-70|All|All,0.500484429065744,MND,60-70,All
53,MND|60-70|All|All,0.5198615916955017,MND,60-70,All
54,MND|50-60|Male|Carriers,0.38271604938271603,MND,50-60,Male
55,MND|50-60|Male|Carriers,0.4074074074074074,MND,50-60,Male
56,MND|50-60|Male|Non Carriers,0.66,MND,50-60,Male
57,MND|50-60|Male|Non Carriers,0.6000000000000001,MND,50-60,Male
58,MND|50-60|Male|All,0.645,MND,50-60,Male
59,MND|50-60|Male|All,0.40750000000000003,MND,50-60,Male
60,MND|50-60|Female|Carriers,0.5555555555555556,MND,50-60,Female
61,MND|50-60|Female|Carriers,0.5555555555555555,MND,50-60,Female
62,MND|50-60|Female|Non Carriers,0.7633136094674556,MND,50-60,Female
63,MND|50-60|Female|Non Carriers,0.39644970414201186,MND,50-60,Female
64,MND|50-60|Female|All,0.5238095238095238,MND,50-60,Female
65,MND|50-60|Female|All,0.39229024943310653,MND,50-60,Female
66,MND|50-60|All|Carriers,0.6111111111111112,MND,50-60,All
67,MND|50-60|All|Carriers,0.3672839506172839,MND,50-60,All
68,MND|50-60|All|Non Carriers,0.5614366729678639,MND,50-60,All
69,MND|50-60|All|Non Carriers,0.5085066162570889,MND,50-60,All
70,MND|50-60|All|All,0.5630577037477692,MND,50-60,All
71,MND|50-60|All|All,0.4211778703152885,MND,50-60,All
72,FTD|50-70|Male|Carriers,0.5619834710743801,FTD,50-70,Male
73,FTD|50-70|Male|Carriers,0.45454545454545453,FTD,50-70,Male
74,FTD|50-70|Male|Non Carriers,0.45408163265306123,FTD,50-70,Male
75,FTD|50-70|Male|Non Carriers,0.5918367346938775,FTD,50-70,Male
76,FTD|50-70|Male|All,0.4363905325443787,FTD,50-70,Male
77,FTD|50-70|Male|All,0.6568047337278107,FTD,50-70,Male
78,FTD|50-70|Female|Carriers,0.5363321799307958,FTD,50-70,Female
79,FTD|50-70|Female|Carriers,0.629757785467128,FTD,50-70,Female
80,FTD|50-70|Female|Non Carriers,0.6088888888888889,FTD,50-70,Female
81,FTD|50-70|Female|Non Carriers,0.7333333333333333,FTD,50-70,Female
82,FTD|50-70|Female|All,0.6201171875,FTD,50-70,Female
83,FTD|50-70|Female|All,0.6318359375,FTD,50-70,Female
84,FTD|50-70|All|Carriers,0.5778061224489797,FTD,50-70,All
85,FTD|50-70|All|Carriers,0.5982142857142857,FTD,50-70,All
86,FTD|50-70|All|Non Carriers,0.6266349583828775,FTD,50-70,All
87,FTD|50-70|All|Non Carriers,0.4863258026159335,FTD,50-70,All
88,FTD|50-70|All|All,0.5949522930132348,FTD,50-70,All
89,FTD|50-70|All|All,0.6522006771314252,FTD,50-70,All
90,FTD|55-70|Male|Carriers,0.5900000000000001,FTD,55-70,Male
91,FTD|55-70|Male|Carriers,0.6600000000000001,FTD,55-70,Male
92,FTD|55-70|Male|Non Carriers,0.5857988165680473,FTD,55-70,Male
93,FTD|55-70|Male|Non Carriers,0.514792899408284,FTD,55-70,Male
94,FTD|55-70|Male|All,0.513888888888889,FTD,55-70,Male
95,FTD|55-70|Male|All,0.5711805555555556,FTD,55-70,Male
96,FTD|55-70|Female|Carriers,0.51171875,FTD,55-70,Female
97,FTD|55-70|Female|Carriers,0.62890625,FTD,55-70,Female
98,FTD|55-70|Female|Non Carriers,0.4693877551020408,FTD,55-70,Female
99,FTD|55-70|Female|Non Carriers,0.5816326530612246,FTD,55-70,Female
100,FTD|55-70|Female|All,0.5511111111111112,FTD,55-70,Female
101,FTD|55-70|Female|All,0.5833333333333333,FTD,55-70,Female
102,FTD|55-70|All|Carriers,0.5340236686390533,FTD,55-70,All
103,FTD|55-70|All|Carriers,0.514792899408284,FTD,55-70,All
104,FTD|55-70|All|Non Carriers,0.7297668038408778,FTD,55-70,All
105,FTD|55-70|All|Non Carriers,0.5061728395061729,FTD,55-70,All
106,FTD|55-70|All|All,0.6318974724101103,FTD,55-70,All
107,FTD|55-70|All|All,0.6632253470986116,FTD,55-70,All
108,FTD|60-70|Male|Carriers,0.5,FTD,60-70,Male
109,FTD|60-70|Male|Carriers,0.6666666666666667,FTD,60-70,Male
110,FTD|60-70|Male|Non Carriers,0.5,FTD,60-70,Male
111,FTD|60-70|Male|Non Carriers,0.44444444444444453,FTD,60-70,Male
112,FTD|60-70|Male|All,0.5570934256055363,FTD,60-70,Male
113,FTD|60-70|Male|All,0.5536332179930796,FTD,60-70,Male
114,FTD|60-70|Female|Carriers,0.6275510204081632,FTD,60-70,Female
115,FTD|60-70|Female|Carriers,0.6785714285714286,FTD,60-70,Female
116,FTD|60-70|Female|Non Carriers,0.7355371900826446,FTD,60-70,Female
117,FTD|60-70|Female|Non Carriers,0.48760330578512395,FTD,60-70,Female
118,FTD|60-70|Female|All,0.5711999999999999,FTD,60-70,Female
119,FTD|60-70|Female|All,0.6416,FTD,60-70,Female
120,FTD|60-70|All|Carriers,0.6487603305785125,FTD,60-70,All
121,FTD|60-70|All|Carriers,0.737603305785124,FTD,60-70,All
122,FTD|60-70|All|Non Carriers,0.6575,FTD,60-70,All
123,FTD|60-70|All|Non Carriers,0.615,FTD,60-70,All
124,FTD|60-70|All|All,0.6403461330448891,FTD,60-70,All
125,FTD|60-70|All|All,0.7641968631692806,FTD,60-70,All
126,FTD|50-60|Male|Carriers,0.5,FTD,50-60,Male
127,FTD|50-60|Male|Carriers,0.5,FTD,50-60,Male
128,FTD|50-60|Male|Non Carriers,0.5,FTD,50-60,Male
129,FTD|50-60|Male|Non Carriers,0.5,FTD,50-60,Male
130,FTD|50-60|Male|All,0.5599999999999999,FTD,50-60,Male
131,FTD|50-60|Male|All,0.66,FTD,50-60,Male
132,FTD|50-60|Female|Carriers,0.5,FTD,50-60,Female
133,FTD|50-60|Female|Carriers,0.5,FTD,50-60,Female
134,FTD|50-60|Female|Non Carriers,0.5,FTD,50-60,Female
135,FTD|50-60|Female|Non Carriers,0.5,FTD,50-60,Female
136,FTD|50-60|Female|All,0.4375,FTD,50-60,Female
137,FTD|50-60|Female|All,0.4375,FTD,50-60,Female
138,FTD|50-60|All|Carriers,0.5,FTD,50-60,All
139,FTD|50-60|All|Carriers,0.5,FTD,50-60,All
140,FTD|50-60|All|Non Carriers,0.4132231404958677,FTD,50-60,All
141,FTD|50-60|All|Non Carriers,0.628099173553719,FTD,50-60,All
142,FTD|50-60|All|All,0.3395061728395061,FTD,50-60,All
143,FTD|50-60|All|All,0.36728395061728397,FTD,50-60,All
144,VD|50-70|Male|Carriers,0.7742607246980424,VD,50-70,Male
145,VD|50-70|Male|Carriers,0.7181382757184507,VD,50-70,Male
146,VD|50-70|Male|Non Carriers,0.7773152965660768,VD,50-70,Male
147,VD|50-70|Male|Non Carriers,0.641519250780437,VD,50-70,Male
148,VD|50-70|Male|All,0.752109375,VD,50-70,Male
149,VD|50-70|Male|All,0.7425,VD,50-70,Male
150,VD|50-70|Female|Carriers,0.7114583333333332,VD,50-70,Female
151,VD|50-70|Female|Carriers,0.7321527777777778,VD,50-70,Female
152,VD|50-70|Female|Non Carriers,0.7912636837070889,VD,50-70,Female
153,VD|50-70|Female|Non Carriers,0.7376979487724519,VD,50-70,Female
154,VD|50-70|Female|All,0.7881670878549131,VD,50-70,Female
155,VD|50-70|Female|All,0.800611607806494,VD,50-70,Female
156,VD|50-70|All|Carriers,0.7474749600202004,VD,50-70,All
157,VD|50-70|All|Carriers,0.7432665600538676,VD,50-70,All
158,VD|50-70|All|Non Carriers,0.7125509275740676,VD,50-70,All
159,VD|50-70|All|Non Carriers,0.6942367786084411,VD,50-70,All
160,VD|50-70|All|All,0.7811424832370593,VD,50-70,All
161,VD|50-70|All|All,0.7687452947674296,VD,50-70,All
162,VD|55-70|Male|Carriers,0.7708333333333334,VD,55-70,Male
163,VD|55-70|Male|Carriers,0.6880425347222222,VD,55-70,Male
164,VD|55-70|Male|Non Carriers,0.7088888888888888,VD,55-70,Male
165,VD|55-70|Male|Non Carriers,0.7261111111111112,VD,55-70,Male
166,VD|55-70|Male|All,0.7517258382642997,VD,55-70,Male
167,VD|55-70|Male|All,0.75267094017094,VD,55-70,Male
168,VD|55-70|Female|Carriers,0.7263717322608446,VD,55-70,Female
169,VD|55-70|Female|Carriers,0.7635736857224936,VD,55-70,Female
170,VD|55-70|Female|Non Carriers,0.7139058171745152,VD,55-70,Female
171,VD|55-70|Female|Non Carriers,0.7489196675900276,VD,55-70,Female
172,VD|55-70|Female|All,0.742991278034888,VD,55-70,Female
173,VD|55-70|Female|All,0.7052999288002848,VD,55-70,Female
174,VD|55-70|All|Carriers,0.747030308323871,VD,55-70,All
175,VD|55-70|All|Carriers,0.7382740850729322,VD,55-70,All
176,VD|55-70|All|Non Carriers,0.7650780437044745,VD,55-70,All
177,VD|55-70|All|Non Carriers,0.7599167533818938,VD,55-70,All
178,VD|55-70|All|All,0.7972033107864954,VD,55-70,All
179,VD|55-70|All|All,0.7697064504520383,VD,55-70,All
180,VD|60-70|Male|Carriers,0.6896266540642723,VD,60-70,Male
181,VD|60-70|Male|Carriers,0.7403119092627599,VD,60-70,Male
182,VD|60-70|Male|Non Carriers,0.7248086734693878,VD,60-70,Male
183,VD|60-70|Male|Non Carriers,0.7346938775510203,VD,60-70,Male
184,VD|60-70|Male|All,0.7616417092768444,VD,60-70,Male
185,VD|60-70|Male|All,0.7116051862673485,VD,60-70,Male
186,VD|60-70|Female|Carriers,0.7151754902785961,VD,60-70,Female
187,VD|60-70|Female|Carriers,0.6856325225149398,VD,60-70,Female
188,VD|60-70|Female|Non Carriers,0.7230809882415115,VD,60-70,Female
189,VD|60-70|Female|Non Carriers,0.718192627824019,VD,60-70,Female
190,VD|60-70|Female|All,0.7589806330695543,VD,60-70,Female
191,VD|60-70|Female|All,0.7624167013744273,VD,60-70,Female
192,VD|60-70|All|Carriers,0.7614167966139451,VD,60-70,All
193,VD|60-70|All|Carriers,0.7595604069206208,VD,60-70,All
194,VD|60-70|All|Non Carriers,0.7058046848256639,VD,60-70,All
195,VD|60-70|All|Non Carriers,0.7318695290723262,VD,60-70,All
196,VD|60-70|All|All,0.7245639534883721,VD,60-70,All
197,VD|60-70|All|All,0.7624391563007031,VD,60-70,All
198,VD|50-60|Male|Carriers,0.5,VD,50-60,Male
199,VD|50-60|Male|Carriers,0.5,VD,50-60,Male
200,VD|50-60|Male|Non Carriers,0.5,VD,50-60,Male
201,VD|50-60|Male|Non Carriers,0.5,VD,50-60,Male
202,VD|50-60|Male|All,0.7265625,VD,50-60,Male
203,VD|50-60|Male|All,0.7890625,VD,50-60,Male
204,VD|50-60|Female|Carriers,0.7911111111111111,VD,50-60,Female
