,breakdown,auc,disease,Age Range,Gender,fields
0,MND|50-70|Male|Carriers,0.4704142011834319,MND,50-70,Male,Blood
1,MND|50-70|Male|Carriers,0.43343195266272194,MND,50-70,Male,Blood
2,MND|50-70|Male|Non Carriers,0.5751953125,MND,50-70,Male,Blood
3,MND|50-70|Male|Non Carriers,0.5068359375,MND,50-70,Male,Blood
4,MND|50-70|Male|All,0.5557372175980975,MND,50-70,Male,Blood
5,MND|50-70|Male|All,0.5071343638525565,MND,50-70,Male,Blood
6,MND|50-70|Female|Carriers,0.3576388888888889,MND,50-70,Female,Blood
7,MND|50-70|Female|Carriers,0.5329861111111112,MND,50-70,Female,Blood
8,MND|50-70|Female|Non Carriers,0.47916666666666663,MND,50-70,Female,Blood
9,MND|50-70|Female|Non Carriers,0.5609567901234568,MND,50-70,Female,Blood
10,MND|50-70|Female|All,0.4409722222222222,MND,50-70,Female,Blood
11,MND|50-70|Female|All,0.4938888888888889,MND,50-70,Female,Blood
12,MND|50-70|All|Carriers,0.473,MND,50-70,All,Blood
13,MND|50-70|All|Carriers,0.5224000000000001,MND,50-70,All,Blood
14,MND|50-70|All|Non Carriers,0.4475950430581811,MND,50-70,All,Blood
15,MND|50-70|All|Non Carriers,0.4242806133165301,MND,50-70,All,Blood
16,MND|50-70|All|All,0.47536627405917836,MND,50-70,All,Blood
17,MND|50-70|All|All,0.5355142200517093,MND,50-70,All,Blood
18,MND|55-70|Male|Carriers,0.4914933837429112,MND,55-70,Male,Blood
19,MND|55-70|Male|Carriers,0.6408317580340265,MND,55-70,Male,Blood
20,MND|55-70|Male|Non Carriers,0.5165816326530612,MND,55-70,Male,Blood
21,MND|55-70|Male|Non Carriers,0.45918367346938777,MND,55-70,Male,Blood
22,MND|55-70|Male|All,0.4090236686390532,MND,55-70,Male,Blood
23,MND|55-70|Male|All,0.5695266272189349,MND,55-70,Male,Blood
24,MND|55-70|Female|Carriers,0.5192743764172336,MND,55-70,Female,Blood
25,MND|55-70|Female|Carriers,0.41723356009070295,MND,55-70,Female,Blood
26,MND|55-70|Female|Non Carriers,0.3876953125,MND,55-70,Female,Blood
27,MND|55-70|Female|Non Carriers,0.419921875,MND,55-70,Female,Blood
28,MND|55-70|Female|All,0.5315058739765041,MND,55-70,Female,Blood
29,MND|55-70|Female|All,0.5112139551441794,MND,55-70,Female,Blood
30,MND|55-70|All|Carriers,0.5578512396694215,MND,55-70,All,Blood
31,MND|55-70|All|Carriers,0.48605371900826455,MND,55-70,All,Blood
32,MND|55-70|All|Non Carriers,0.4608333333333333,MND,55-70,All,Blood
33,MND|55-70|All|Non Carriers,0.49861111111111117,MND,55-70,All,Blood
34,MND|55-70|All|All,0.554271449704142,MND,55-70,All,Blood
35,MND|55-70|All|All,0.48539201183431946,MND,55-70,All,Blood
36,MND|60-70|Male|Carriers,0.48199445983379496,MND,60-70,Male,Blood
37,MND|60-70|Male|Carriers,0.6343490304709142,MND,60-70,Male,Blood
38,MND|60-70|Male|Non Carriers,0.41209829867674863,MND,60-70,Male,Blood
39,MND|60-70|Male|Non Carriers,0.555765595463138,MND,60-70,Male,Blood
40,MND|60-70|Male|All,0.5175736961451247,MND,60-70,Male,Blood
41,MND|60-70|Male|All,0.44727891156462585,MND,60-70,Male,Blood
42,MND|60-70|Female|Carriers,0.6193771626297578,MND,60-70,Female,Blood
43,MND|60-70|Female|Carriers,0.5190311418685121,MND,60-70,Female,Blood
44,MND|60-70|Female|Non Carriers,0.47633136094674555,MND,60-70,Female,Blood
45,MND|60-70|Female|Non Carriers,0.514792899408284,MND,60-70,Female,Blood
46,MND|60-70|Female|All,0.599242833964305,MND,60-70,Female,Blood
47,MND|60-70|Female|All,0.48431584640346137,MND,60-70,Female,Blood
48,MND|60-70|All|Carriers,0.503858024691358,MND,60-70,All,Blood
49,MND|60-70|All|Carriers,0.6604938271604938,MND,60-70,All,Blood
50,MND|60-70|All|Non Carriers,0.3760932944606414,MND,60-70,All,Blood
51,MND|60-70|All|Non Carriers,0.5310287380258226,MND,60-70,All,Blood
52,MND|60-70|All|All,0.4862283737024221,MND,60-70,All,Blood
53,MND|60-70|All|All,0.5424221453287197,MND,60-70,All,Blood
54,MND|50-60|Male|Carriers,0.5987654320987654,MND,50-60,Male,Blood
55,MND|50-60|Male|Carriers,0.4876543209876543,MND,50-60,Male,Blood
56,MND|50-60|Male|Non Carriers,0.3,MND,50-60,Male,Blood
57,MND|50-60|Male|Non Carriers,0.4,MND,50-60,Male,Blood
58,MND|50-60|Male|All,0.5549999999999999,MND,50-60,Male,Blood
59,MND|50-60|Male|All,0.44,MND,50-60,Male,Blood
60,MND|50-60|Female|Carriers,0.5,MND,50-60,Female,Blood
61,MND|50-60|Female|Carriers,0.5,MND,50-60,Female,Blood
62,MND|50-60|Female|Non Carriers,0.6153846153846154,MND,50-60,Female,Blood
63,MND|50-60|Female|Non Carriers,0.4497041420118343,MND,50-60,Female,Blood
64,MND|50-60|Female|All,0.5056689342403629,MND,50-60,Female,Blood
65,MND|50-60|Female|All,0.38775510204081637,MND,50-60,Female,Blood
66,MND|50-60|All|Carriers,0.5154320987654321,MND,50-60,All,Blood
67,MND|50-60|All|Carriers,0.3487654320987654,MND,50-60,All,Blood
68,MND|50-60|All|Non Carriers,0.6521739130434782,MND,50-60,All,Blood
69,MND|50-60|All|Non Carriers,0.44990548204158787,MND,50-60,All,Blood
70,MND|50-60|All|All,0.519333729922665,MND,50-60,All,Blood
71,MND|50-60|All|All,0.5252825698988697,MND,50-60,All,Blood
72,FTD|50-70|Male|Carriers,0.6611570247933884,FTD,50-70,Male,Blood
73,FTD|50-70|Male|Carriers,0.49173553719008267,FTD,50-70,Male,Blood
74,FTD|50-70|Male|Non Carriers,0.6887755102040817,FTD,50-70,Male,Blood
75,FTD|50-70|Male|Non Carriers,0.5255102040816326,FTD,50-70,Male,Blood
76,FTD|50-70|Male|All,0.3668639053254438,FTD,50-70,Male,Blood
77,FTD|50-70|Male|All,0.5399408284023669,FTD,50-70,Male,Blood
78,FTD|50-70|Female|Carriers,0.5190311418685121,FTD,50-70,Female,Blood
79,FTD|50-70|Female|Carriers,0.6262975778546713,FTD,50-70,Female,Blood
80,FTD|50-70|Female|Non Carriers,0.5688888888888889,FTD,50-70,Female,Blood
81,FTD|50-70|Female|Non Carriers,0.6,FTD,50-70,Female,Blood
82,FTD|50-70|Female|All,0.4912109375,FTD,50-70,Female,Blood
83,FTD|50-70|Female|All,0.5458984375,FTD,50-70,Female,Blood
84,FTD|50-70|All|Carriers,0.5535714285714285,FTD,50-70,All,Blood
85,FTD|50-70|All|Carriers,0.5931122448979592,FTD,50-70,All,Blood
86,FTD|50-70|All|Non Carriers,0.6064209274673008,FTD,50-70,All,Blood
87,FTD|50-70|All|Non Carriers,0.49464922711058257,FTD,50-70,All,Blood
88,FTD|50-70|All|All,0.5604801477377656,FTD,50-70,All,Blood
89,FTD|50-70|All|All,0.5715604801477379,FTD,50-70,All,Blood
90,FTD|55-70|Male|Carriers,0.5449999999999999,FTD,55-70,Male,Blood
91,FTD|55-70|Male|Carriers,0.615,FTD,55-70,Male,Blood
92,FTD|55-70|Male|Non Carriers,0.4023668639053254,FTD,55-70,Male,Blood
93,FTD|55-70|Male|Non Carriers,0.5029585798816568,FTD,55-70,Male,Blood
94,FTD|55-70|Male|All,0.4895833333333333,FTD,55-70,Male,Blood
95,FTD|55-70|Male|All,0.595486111111111,FTD,55-70,Male,Blood
96,FTD|55-70|Female|Carriers,0.58984375,FTD,55-70,Female,Blood
97,FTD|55-70|Female|Carriers,0.54296875,FTD,55-70,Female,Blood
98,FTD|55-70|Female|Non Carriers,0.5306122448979592,FTD,55-70,Female,Blood
99,FTD|55-70|Female|Non Carriers,0.5816326530612245,FTD,55-70,Female,Blood
100,FTD|55-70|Female|All,0.5544444444444444,FTD,55-70,Female,Blood
101,FTD|55-70|Female|All,0.5622222222222222,FTD,55-70,Female,Blood
102,FTD|55-70|All|Carriers,0.5710059171597632,FTD,55-70,All,Blood
103,FTD|55-70|All|Carriers,0.48298816568047337,FTD,55-70,All,Blood
104,FTD|55-70|All|Non Carriers,0.5733882030178326,FTD,55-70,All,Blood
105,FTD|55-70|All|Non Carriers,0.5308641975308642,FTD,55-70,All,Blood
106,FTD|55-70|All|All,0.4396582413670346,FTD,55-70,All,Blood
107,FTD|55-70|All|All,0.5297258810964756,FTD,55-70,All,Blood
108,FTD|60-70|Male|Carriers,0.3333333333333333,FTD,60-70,Male,Blood
109,FTD|60-70|Male|Carriers,0.6111111111111112,FTD,60-70,Male,Blood
110,FTD|60-70|Male|Non Carriers,0.5,FTD,60-70,Male,Blood
111,FTD|60-70|Male|Non Carriers,0.5,FTD,60-70,Male,Blood
112,FTD|60-70|Male|All,0.5743944636678201,FTD,60-70,Male,Blood
113,FTD|60-70|Male|All,0.6470588235294117,FTD,60-70,Male,Blood
114,FTD|60-70|Female|Carriers,0.4693877551020408,FTD,60-70,Female,Blood
115,FTD|60-70|Female|Carriers,0.49489795918367346,FTD,60-70,Female,Blood
116,FTD|60-70|Female|Non Carriers,0.7066115702479339,FTD,60-70,Female,Blood
117,FTD|60-70|Female|Non Carriers,0.5619834710743802,FTD,60-70,Female,Blood
118,FTD|60-70|Female|All,0.3888,FTD,60-70,Female,Blood
119,FTD|60-70|Female|All,0.40159999999999996,FTD,60-70,Female,Blood
120,FTD|60-70|All|Carriers,0.44834710743801653,FTD,60-70,All,Blood
121,FTD|60-70|All|Carriers,0.5702479338842975,FTD,60-70,All,Blood
122,FTD|60-70|All|Non Carriers,0.305,FTD,60-70,All,Blood
