,breakdown,auc,disease,Age Range,Gender
0,MND|50-70|Male|Carriers,0.5502958579881657,MND,50-70,Male
1,MND|50-70|Male|Carriers,0.47337278106508884,MND,50-70,Male
2,MND|50-70|Male|Non Carriers,0.4453125,MND,50-70,Male
3,MND|50-70|Male|Non Carriers,0.5068359375,MND,50-70,Male
4,MND|50-70|Male|All,0.48929845422116525,MND,50-70,Male
5,MND|50-70|Male|All,0.5558858501783591,MND,50-70,Male
6,MND|50-70|Female|Carriers,0.5277777777777778,MND,50-70,Female
7,MND|50-70|Female|Carriers,0.5954861111111112,MND,50-70,Female
8,MND|50-70|Female|Non Carriers,0.5540123456790123,MND,50-70,Female
9,MND|50-70|Female|Non Carriers,0.5277777777777778,MND,50-70,Female
10,MND|50-70|Female|All,0.4894444444444444,MND,50-70,Female
11,MND|50-70|Female|All,0.4922222222222222,MND,50-70,Female
12,MND|50-70|All|Carriers,0.5936,MND,50-70,All
13,MND|50-70|All|Carriers,0.48119999999999996,MND,50-70,All
14,MND|50-70|All|Non Carriers,0.46124763705103966,MND,50-70,All
15,MND|50-70|All|Non Carriers,0.4929636630959882,MND,50-70,All
16,MND|50-70|All|All,0.5060327492099972,MND,50-70,All
17,MND|50-70|All|All,0.5253519103705832,MND,50-70,All
18,MND|55-70|Male|Carriers,0.4933837429111531,MND,55-70,Male
19,MND|55-70|Male|Carriers,0.4914933837429111,MND,55-70,Male
20,MND|55-70|Male|Non Carriers,0.510204081632653,MND,55-70,Male
21,MND|55-70|Male|Non Carriers,0.5063775510204082,MND,55-70,Male
22,MND|55-70|Male|All,0.43528106508875747,MND,55-70,Male
23,MND|55-70|Male|All,0.5462278106508875,MND,55-70,Male
24,MND|55-70|Female|Carriers,0.5147392290249433,MND,55-70,Female
25,MND|55-70|Female|Carriers,0.5351473922902494,MND,55-70,Female
26,MND|55-70|Female|Non Carriers,0.4794921875,MND,55-70,Female
27,MND|55-70|Female|Non Carriers,0.4267578125,MND,55-70,Female
28,MND|55-70|Female|All,0.5614097543609826,MND,55-70,Female
29,MND|55-70|Female|All,0.5603417586329655,MND,55-70,Female
30,MND|55-70|All|Carriers,0.5640495867768596,MND,55-70,All
31,MND|55-70|All|Carriers,0.5103305785123968,MND,55-70,All
32,MND|55-70|All|Non Carriers,0.44472222222222224,MND,55-70,All
33,MND|55-70|All|Non Carriers,0.5341666666666667,MND,55-70,All
34,MND|55-70|All|All,0.474944526627219,MND,55-70,All
35,MND|55-70|All|All,0.5248705621301776,MND,55-70,All
36,MND|60-70|Male|Carriers,0.5041551246537397,MND,60-70,Male
37,MND|60-70|Male|Carriers,0.47091412742382266,MND,60-70,Male
38,MND|60-70|Male|Non Carriers,0.5274102079395085,MND,60-70,Male
39,MND|60-70|Male|Non Carriers,0.5897920604914934,MND,60-70,Male
40,MND|60-70|Male|All,0.5748299319727891,MND,60-70,Male
41,MND|60-70|Male|All,0.5566893424036281,MND,60-70,Male
42,MND|60-70|Female|Carriers,0.6124567474048443,MND,60-70,Female
43,MND|60-70|Female|Carriers,0.4429065743944637,MND,60-70,Female
44,MND|60-70|Female|Non Carriers,0.363905325443787,MND,60-70,Female
45,MND|60-70|Female|Non Carriers,0.5710059171597633,MND,60-70,Female
46,MND|60-70|Female|All,0.4364521362898864,MND,60-70,Female
47,MND|60-70|Female|All,0.5613845321795565,MND,60-70,Female
48,MND|60-70|All|Carriers,0.4637345679012346,MND,60-70,All
49,MND|60-70|All|Carriers,0.5177469135802468,MND,60-70,All
50,MND|60-70|All|Non Carriers,0.4698042482299042,MND,60-70,All
51,MND|60-70|All|Non Carriers,0.5610162432319867,MND,60-70,All
52,MND|60-70|All|All,0.4988235294117647,MND,60-70,All
53,MND|60-70|All|All,0.4602076124567474,MND,60-70,All
54,MND|50-60|Male|Carriers,0.38888888888888895,MND,50-60,Male
55,MND|50-60|Male|Carriers,0.6111111111111112,MND,50-60,Male
56,MND|50-60|Male|Non Carriers,0.57,MND,50-60,Male
57,MND|50-60|Male|Non Carriers,0.49000000000000005,MND,50-60,Male
58,MND|50-60|Male|All,0.47750000000000004,MND,50-60,Male
59,MND|50-60|Male|All,0.41,MND,50-60,Male
60,MND|50-60|Female|Carriers,0.5555555555555556,MND,50-60,Female
61,MND|50-60|Female|Carriers,0.5555555555555555,MND,50-60,Female
62,MND|50-60|Female|Non Carriers,0.7692307692307693,MND,50-60,Female
63,MND|50-60|Female|Non Carriers,0.485207100591716,MND,50-60,Female
64,MND|50-60|Female|All,0.5328798185941044,MND,50-60,Female
65,MND|50-60|Female|All,0.4988662131519274,MND,50-60,Female
66,MND|50-60|All|Carriers,0.37037037037037035,MND,50-60,All
67,MND|50-60|All|Carriers,0.462962962962963,MND,50-60,All
