,breakdown,Attribute,mean_shapsum,mean_shapcount,mean_shapstd,corrmean,mean_shap,corr,Attribute_original,Attribute_new
0,AD|50-60|All|All,Able to confide,0.23562125280136514,2,0.09242314855278025,-0.3978889309191843,0.23562125280136514,-0.3978889309191843,able_to_confide_f2110_0_0,Able to confide
1,AD|50-60|All|All,Age completed full time education,0.07215826554974886,2,0.03342129943226472,-0.09508000221268753,0.07215826554974886,-0.09508000221268753,age_completed_full_time_education_f845_0_0,Age completed full time education
2,AD|50-60|All|All,Alcohol intake frequency.,0.025441506731919635,2,0.009533752419826713,0.0795948738241477,0.025441506731919635,0.0795948738241477,alcohol_intake_frequency_f1558_0_0,Alcohol intake frequency.
3,AD|50-60|All|All,Alcohol intake versus 10 years previously,0.00489308878159671,1,,-0.010617354420654031,0.00489308878159671,-0.010617354420654031,alcohol_intake_versus_10_years_previously_f1628_0_0,Alcohol intake versus 10 years previously
4,AD|50-60|All|All,Alcohol usually taken with meals,0.14552540037689687,2,0.057759641273829904,-0.2247867464896391,0.14552540037689687,-0.2247867464896391,alcohol_usually_taken_with_meals_f1618_0_0,Alcohol usually taken with meals
5,AD|50-60|All|All,Average hhold income before tax,0.31829459822106104,2,0.013815608514740455,-0.6648456055023526,0.31829459822106104,-0.6648456055023526,average_total_household_income_before_tax_f738_0_0,Average hhold income before tax
6,AD|50-60|All|All,Average weekly beer plus cider intake,0.061620915442814714,2,0.020630710738874642,0.3019561077768334,0.061620915442814714,0.3019561077768334,average_weekly_beer_plus_cider_intake_f1588_0_0,Average weekly beer plus cider intake
7,AD|50-60|All|All,Average weekly champagne plus white wine intake,0.08391709402228671,2,0.03455734880814602,-0.2136194750060858,0.08391709402228671,-0.2136194750060858,average_weekly_champagne_plus_white_wine_intake_f1578_0_0,Average weekly champagne plus white wine intake
8,AD|50-60|All|All,Average weekly fortified wine intake,0.011351340290789007,1,,0.004757010244049971,0.011351340290789007,0.004757010244049971,average_weekly_fortified_wine_intake_f1608_0_0,Average weekly fortified wine intake
9,AD|50-60|All|All,Average weekly red wine intake,0.011666712903591158,2,0.0030572303514779377,-0.34066342746573186,0.011666712903591158,-0.34066342746573186,average_weekly_red_wine_intake_f1568_0_0,Average weekly red wine intake
10,AD|50-60|All|All,Average weekly spirits intake,0.05276774425270706,2,0.025326374765035974,-0.451145168501895,0.05276774425270706,-0.451145168501895,average_weekly_spirits_intake_f1598_0_0,Average weekly spirits intake
11,AD|50-60|All|All,Beef intake,0.020984158876189943,2,0.0005847810447297064,0.4227803409781818,0.020984158876189943,0.4227803409781818,beef_intake_f1369_0_0,Beef intake
12,AD|50-60|All|All,Bread intake,0.14122886655475847,2,0.039116393111672164,0.03595422362992985,0.14122886655475847,0.03595422362992985,bread_intake_f1438_0_0,Bread intake
13,AD|50-60|All|All,Breastfed as a baby,0.01255068163541556,1,,0.05845593651852426,0.01255068163541556,0.05845593651852426,breastfed_as_a_baby_f1677_0_0,Breastfed as a baby
14,AD|50-60|All|All,Cereal intake,0.13289107917861004,2,0.04360281501527225,0.5637460259332218,0.13289107917861004,0.5637460259332218,cereal_intake_f1458_0_0,Cereal intake
15,AD|50-60|All|All,Cheese intake,0.10434521555319075,2,0.0608157797779996,-0.41501887426593675,0.10434521555319075,-0.41501887426593675,cheese_intake_f1408_0_0,Cheese intake
16,AD|50-60|All|All,Childhood sunburn occasions,0.06507002726278271,2,0.006417748417920811,0.046543595318120634,0.06507002726278271,0.046543595318120634,childhood_sunburn_occasions_f1737_0_0,Childhood sunburn occasions
17,AD|50-60|All|All,Coffee Intake,0.12080939168539341,2,0.07204295184807255,0.5700142087805224,0.12080939168539341,0.5700142087805224,coffee_intake_f1498_0_0,Coffee Intake
18,AD|50-60|All|All,Comparative body size at age 10,0.01218588248113235,2,0.007583076986929504,0.3356641089740794,0.01218588248113235,0.3356641089740794,comparative_body_size_at_age_10_f1687_0_0,Comparative body size at age 10
19,AD|50-60|All|All,Comparative height size at age 10,0.14409556882742985,2,0.017310380632635815,-0.76421282736843,0.14409556882742985,-0.76421282736843,comparative_height_size_at_age_10_f1697_0_0,Comparative height size at age 10
