,Attribute,mean_shap,corr,model_feature_importance,weighted_shap,weighted_model_fi,shap_model_fi,iteration,breakdown,disease,Age Range,Gender
839,rs429358,0.5137391965004612,0.8049682559878796,0.015614841,0.10865595881627309,0.015614841,0.12427079994962918,0,AD|50-70|Male|Carriers,AD,50-70,Male
840,rs7412,0.3628011907530664,-0.9783538287098482,0.037396055,0.07673253570973075,0.037396055,0.11412859042464889,0,AD|50-70|Male|Carriers,AD,50-70,Male
837,rs6857,0.19125152136892634,0.8233539063123413,0.0079163555,0.040449740979405645,0.0079163555,0.048366096484991315,0,AD|50-70|Male|Carriers,AD,50-70,Male
842,rs4420638,0.13939991667812215,0.7981885724816338,0.009702913,0.029483114601235892,0.009702913,0.039186028064351584,0,AD|50-70|Male|Carriers,AD,50-70,Male
205,urea_f30670_0_0,0.14618291149198093,-0.6877589385487193,0.0031917475,0.030917719572330346,0.0031917475,0.03410946704215788,0,AD|50-70|Male|Carriers,AD,50-70,Male
58,peak_expiratory_flow_pef_f3064_0_0,0.10576308702382099,-0.7907327946781724,0.006564939,0.02236891735383069,0.006564939,0.02893385628276264,0,AD|50-70|Male|Carriers,AD,50-70,Male
838,rs769449,0.07941011968000747,0.8684781981013497,0.010627684,0.01679525866883794,0.010627684,0.02742294285225669,0,AD|50-70|Male|Carriers,AD,50-70,Male
151,domestic_garden_percentage_buffer_300m_f24504_0_0,0.10190439005149919,0.7676532422864332,0.002800389,0.021552802052204684,0.002800389,0.02435319101237245,0,AD|50-70|Male|Carriers,AD,50-70,Male
128,particulate_matter_air_pollution_pm10_2010_f24005_0_0,0.09588337426032564,0.6659573753653049,0.0036877203,0.020279355820547927,0.0036877203,0.023967076100688565,0,AD|50-70|Male|Carriers,AD,50-70,Male
579,weight_change_compared_with_1_year_ago_f2306_0_0,0.08668999191304953,-0.7331346479801121,0.0047373185,0.018334953328948304,0.0047373185,0.02307227182237415,0,AD|50-70|Male|Carriers,AD,50-70,Male
847,number_of_selfreported_noncancer_illnesses_f135_0_0,0.0756769297180889,0.7811750489286937,0.0048061567,0.016005688128924535,0.0048061567,0.020811844864791797,0,AD|50-70|Male|Carriers,AD,50-70,Male
22,age_completed_full_time_education_f845_0_0,0.04355517575924748,-0.27560280473023685,0.010388231,0.009211929741335362,0.010388231,0.019600160646272152,0,AD|50-70|Male|Carriers,AD,50-70,Male
213,glycated_haemoglobin_hba1c_f30750_0_0,0.06437805003134937,0.5219232925076551,0.003690354,0.013615972463319697,0.003690354,0.01730632652370135,0,AD|50-70|Male|Carriers,AD,50-70,Male
30,time_spent_using_computer_f1080_0_0,0.04568438208194778,-0.5420504715366701,0.007550727,0.009662257370775768,0.007550727,0.01721298448113186,0,AD|50-70|Male|Carriers,AD,50-70,Male
209,creactive_protein_f30710_0_0,0.0520017833604803,-0.57669078821818,0.0046406696,0.010998389201521692,0.0046406696,0.015639058763444243,0,AD|50-70|Male|Carriers,AD,50-70,Male
225,vitamin_d_f30890_0_0,0.05683348913260646,-0.59897264823221,0.0033684527,0.012020296089227929,0.0033684527,0.01538874874624206,0,AD|50-70|Male|Carriers,AD,50-70,Male
203,aspartate_aminotransferase_f30650_0_0,0.050732650898656244,0.5698565500023421,0.0044135405,0.010729967392472076,0.0044135405,0.015143507867542552,0,AD|50-70|Male|Carriers,AD,50-70,Male
210,cystatin_c_f30720_0_0,0.052992271991669886,0.6150318058133603,0.0035491332,0.011207877775980554,0.0035491332,0.01475701097059103,0,AD|50-70|Male|Carriers,AD,50-70,Male
103,impedance_of_leg_left_f23108_0_0,0.04833008407245997,0.5883450793176911,0.004220187,0.010221823953352005,0.004220187,0.0144420111517227,0,AD|50-70|Male|Carriers,AD,50-70,Male
211,gamma_glutamyltransferase_f30730_0_0,0.050406948583566084,0.33169851851367077,0.0037393812,0.010661081277540861,0.0037393812,0.014400462486556707,0,AD|50-70|Male|Carriers,AD,50-70,Male
171,red_blood_cell_erythrocyte_distribution_width_f30070_0_0,0.048781849020481674,0.5142330261852596,0.003749627,0.010317372344288997,0.003749627,0.014066999265778831,0,AD|50-70|Male|Carriers,AD,50-70,Male
126,nitrogen_dioxide_air_pollution_2010_f24003_0_0,0.04652998071421959,0.7924306671803709,0.0041042333,0.009841101676970616,0.0041042333,0.013945335023850099,0,AD|50-70|Male|Carriers,AD,50-70,Male
510,frequency_of_light_diy_in_last_4_weeks_f1011_0_0,0.018419713201098826,-0.611693067384681,0.009271491,0.0038957735999502604,0.009271491,0.013167264918891378,0,AD|50-70|Male|Carriers,AD,50-70,Male
13,number_of_treatmentsmedications_taken_f137_0_0,0.04269288830399292,0.8350018092038466,0.004036281,0.009029555745221862,0.004036281,0.013065836537428387,0,AD|50-70|Male|Carriers,AD,50-70,Male
831,rs117618017,0.035644691071529684,0.9155447791215844,0.005230575,0.0075388604012881265,0.005230575,0.012769435269907568,0,AD|50-70|Male|Carriers,AD,50-70,Male
68,mean_time_to_correctly_identify_matches_f20023_0_0,0.042139386680443175,0.728314057027539,0.0037419559,0.008912490023893145,0.0037419559,0.012654445874166515,0,AD|50-70|Male|Carriers,AD,50-70,Male
72,forced_expiratory_volume_in_1second_fev1_best_measure_f20150_0_0,0.04063979480967749,-0.047148046626646026,0.003502945,0.008595325996579166,0.003502945,0.012098270946593518,0,AD|50-70|Male|Carriers,AD,50-70,Male
841,rs34954997,0.005116448412367956,0.3237315828866194,0.010330232,0.0010821300219387472,0.010330232,0.011412361882218783,0,AD|50-70|Male|Carriers,AD,50-70,Male
502,average_total_household_income_before_tax_f738_0_0,0.02417036925149093,-0.36390185100395694,0.0061443094,0.005112038683935136,0.0061443094,0.011256348100348444,0,AD|50-70|Male|Carriers,AD,50-70,Male
182,lymphocyte_percentage_f30180_0_0,0.03238421423647729,-0.6303762976045811,0.004353146,0.00684926879697972,0.004353146,0.011202414865731532,0,AD|50-70|Male|Carriers,AD,50-70,Male
19,length_of_working_week_for_main_job_f767_0_0,0.029867034052989565,-0.3594114936541746,0.0048789405,0.006316884606298377,0.0048789405,0.011195825132694414,0,AD|50-70|Male|Carriers,AD,50-70,Male
84,summed_minutes_activity_f22034_0_0,0.03413099073588531,-0.7442220653481908,0.0039240685,0.007218712430390979,0.0039240685,0.011142780959549809,0,AD|50-70|Male|Carriers,AD,50-70,Male
73,forced_vital_capacity_fvc_best_measure_f20151_0_0,0.008402541083979885,0.14547399993746127,0.009339617,0.001777139381600877,0.009339617,0.01111675601555254,0,AD|50-70|Male|Carriers,AD,50-70,Male
511,duration_of_light_diy_f1021_0_0,0.026975484738550503,-0.5686725347623226,0.005241885,0.005705321257881315,0.005241885,0.010947206107846887,0,AD|50-70|Male|Carriers,AD,50-70,Male
88,summed_met_minutes_per_week_for_all_activity_f22040_0_0,0.02759755361895767,0.4197210078660965,0.005106625,0.005836888969885445,0.005106625,0.010943514117049313,0,AD|50-70|Male|Carriers,AD,50-70,Male
131,particulate_matter_air_pollution_2510um_2010_f24008_0_0,0.036291002836907046,0.5364061277798344,0.0029368615,0.007675555489067462,0.0029368615,0.010612416966859724,0,AD|50-70|Male|Carriers,AD,50-70,Male
15,duration_to_first_press_of_snapbutton_in_each_round_f404_0_0,0.03283781333711431,0.4748311884994868,0.0036584055,0.006945205111618834,0.0036584055,0.01060361061673959,0,AD|50-70|Male|Carriers,AD,50-70,Male
163,living_environment_score_england_f26417_0_0,0.0354752093736343,-0.6874663029705846,0.0030349065,0.007503014983005707,0.0030349065,0.010537921444840614,0,AD|50-70|Male|Carriers,AD,50-70,Male
50,lifetime_number_of_sexual_partners_f2149_0_0,0.01610906860104986,-0.4003541306224414,0.0071165184,0.0034070717329091715,0.0071165184,0.010523590181947439,0,AD|50-70|Male|Carriers,AD,50-70,Male
57,forced_expiratory_volume_in_1second_fev1_f3063_0_0,0.03203500975564996,-0.5505326099937514,0.003531572,0.00677541196856231,0.003531572,0.010306983911875192,0,AD|50-70|Male|Carriers,AD,50-70,Male
247,number_of_correct_matches_in_round_f398_0_2,0.011743964657886317,-0.9066281274828357,0.0075247777,0.0024838512398886368,0.0075247777,0.010008628909348219,0,AD|50-70|Male|Carriers,AD,50-70,Male
164,white_blood_cell_leukocyte_count_f30000_0_0,0.03156328386360655,0.6907022201860962,0.0029732545,0.006675641833350537,0.0029732545,0.009648896370560406,0,AD|50-70|Male|Carriers,AD,50-70,Male
600,hearing_aid_user_f3393_0_0,0.031705252922099726,0.0073185269526184074,0.0029202113,0.006705668322039542,0.0029202113,0.00962587961484283,0,AD|50-70|Male|Carriers,AD,50-70,Male
246,number_of_correct_matches_in_round_f398_0_1,0.018877172862782305,-0.935334725796159,0.0055545797,0.003992526424143113,0.0055545797,0.009547106088164843,0,AD|50-70|Male|Carriers,AD,50-70,Male
571,overall_health_rating_f2178_0_0,0.015115355012152415,-0.4528714133567126,0.0063060406,0.0031969010791496138,0.0063060406,0.009502941645564209,0,AD|50-70|Male|Carriers,AD,50-70,Male
508,frequency_of_walking_for_pleasure_in_last_4_weeks_f971_0_0,0.02489927793735755,0.5706842519287195,0.004094507,0.00526620303949113,0.004094507,0.009360710119062615,0,AD|50-70|Male|Carriers,AD,50-70,Male
123,trunk_fat_mass_f23128_0_0,0.02364407465328265,0.6268408102173093,0.0042872108,0.005000727254755342,0.0042872108,0.009287938013530814,0,AD|50-70|Male|Carriers,AD,50-70,Male
191,mean_sphered_cell_volume_f30270_0_0,0.02227977414199207,0.7365014967988467,0.0044914284,0.004712177381244422,0.0044914284,0.009203605760213854,0,AD|50-70|Male|Carriers,AD,50-70,Male
218,phosphate_f30810_0_0,0.020609266601574812,-0.6467178569972878,0.0046088616,0.004358864650290111,0.0046088616,0.008967726286660531,0,AD|50-70|Male|Carriers,AD,50-70,Male
223,triglycerides_f30870_0_0,0.02847821418675007,-0.5259690995304305,0.0028738792,0.006023148883547845,0.0028738792,0.00889702804241723,0,AD|50-70|Male|Carriers,AD,50-70,Male
850,AST_ALT_ratio,0.02027002864456673,0.6555885635851936,0.0044827154,0.004287115743964343,0.0044827154,0.008769831134586958,0,AD|50-70|Male|Carriers,AD,50-70,Male
197,sodium_in_urine_f30530_0_0,0.02267328514614871,0.6712485545965244,0.0039442247,0.004795405049587917,0.0039442247,0.008739629727567862,0,AD|50-70|Male|Carriers,AD,50-70,Male
763,disease,0.021675377267967987,0.6889440069358952,0.0040723193,0.004584347302675391,0.0040723193,0.008656666553229237,0,AD|50-70|Male|Carriers,AD,50-70,Male
224,urate_f30880_0_0,0.0230269769167685,0.4143529899754619,0.0035501635,0.004870210940833718,0.0035501635,0.008420374411042363,0,AD|50-70|Male|Carriers,AD,50-70,Male
127,nitrogen_oxides_air_pollution_2010_f24004_0_0,0.007830103859234655,0.6082119387993499,0.0066958303,0.0016560687762421453,0.0066958303,0.008351899039439567,0,AD|50-70|Male|Carriers,AD,50-70,Male
862,hypertension,0.0,,0.008330431,0.0,0.008330431,0.008330430835485458,0,AD|50-70|Male|Carriers,AD,50-70,Male
150,greenspace_percentage_buffer_300m_f24503_0_0,0.026433408070303692,-0.5589399109111202,0.0025055276,0.005590671917240172,0.0025055276,0.008096199493671803,0,AD|50-70|Male|Carriers,AD,50-70,Male
160,education_score_england_f26414_0_0,0.016968280915237808,0.4310541407051607,0.0044968086,0.0035887953359762317,0.0044968086,0.008085603965459216,0,AD|50-70|Male|Carriers,AD,50-70,Male
33,cooked_vegetable_intake_f1289_0_0,0.018062089740656914,-0.3009228811766646,0.0042457744,0.0038201361553982277,0.0042457744,0.008065910510183908,0,AD|50-70|Male|Carriers,AD,50-70,Male
204,direct_bilirubin_f30660_0_0,0.021886016059680668,-0.1240197186148547,0.0034209406,0.004628897455814079,0.0034209406,0.008049838056149677,0,AD|50-70|Male|Carriers,AD,50-70,Male
90,adjusted_ts_ratio_f22191_0_0,0.01702506261904477,-0.7008089130640648,0.0043882215,0.0036008046794571156,0.0043882215,0.007989026219014095,0,AD|50-70|Male|Carriers,AD,50-70,Male
129,particulate_matter_air_pollution_pm25_2010_f24006_0_0,0.007666442954059517,0.4626203035924499,0.0063563026,0.001621454456965598,0.0063563026,0.007977757105748329,0,AD|50-70|Male|Carriers,AD,50-70,Male
221,testosterone_f30850_0_0,0.023776602273582605,0.10966700739422151,0.0029213405,0.0050287568770839884,0.0029213405,0.007950097398508996,0,AD|50-70|Male|Carriers,AD,50-70,Male
149,water_percentage_buffer_1000m_f24502_0_0,0.02364140447426805,0.26625348336419186,0.0028108065,0.005000162511276512,0.0028108065,0.007810969012933283,0,AD|50-70|Male|Carriers,AD,50-70,Male
82,dna_concentration_f22024_0_0,0.016946805306505396,-0.7110125536146392,0.004103291,0.0035842532397650055,0.004103291,0.007687544088198977,0,AD|50-70|Male|Carriers,AD,50-70,Male
853,pollution,0.017770478664606806,0.3150889884263597,0.003908574,0.003758460345404545,0.003908574,0.007667034460889498,0,AD|50-70|Male|Carriers,AD,50-70,Male
196,potassium_in_urine_f30520_0_0,0.019656543339446296,-0.46555176989175556,0.0034831127,0.004157363460117544,0.0034831127,0.007640476128736104,0,AD|50-70|Male|Carriers,AD,50-70,Male
179,eosinophill_count_f30150_0_0,0.023119185357840123,0.4061240012734038,0.0027130232,0.004889713047435354,0.0027130232,0.007602736266692947,0,AD|50-70|Male|Carriers,AD,50-70,Male
63,operation_code_f20004_0_0,0.008944066153447025,0.0906353642112431,0.005649025,0.0018916720589726107,0.005649025,0.007540697145286096,0,AD|50-70|Male|Carriers,AD,50-70,Male
34,salad_raw_vegetable_intake_f1299_0_0,0.01814328843344626,0.5325952058563119,0.0036839957,0.0038373096976931386,0.0036839957,0.007521305386027246,0,AD|50-70|Male|Carriers,AD,50-70,Male
521,sleeplessness_insomnia_f1200_0_0,0.015477115205465781,-0.6049059640483515,0.004226681,0.0032734134436602103,0.004226681,0.007500094288682412,0,AD|50-70|Male|Carriers,AD,50-70,Male
809,rs10196381,0.021119785176856642,0.6622358445505261,0.0029871988,0.004466839446974162,0.0029871988,0.007454038211432461,0,AD|50-70|Male|Carriers,AD,50-70,Male
81,missingness_f22005_0_0,0.01944980806546449,0.5223353182147982,0.0033155659,0.004113638901881276,0.0033155659,0.007429204776681362,0,AD|50-70|Male|Carriers,AD,50-70,Male
139,nitrogen_dioxide_air_pollution_2006_f24017_0_0,0.00612420235401136,0.3668831416813473,0.006007221,0.001295270213549656,0.006007221,0.007302491275286002,0,AD|50-70|Male|Carriers,AD,50-70,Male
388,mouthteeth_dental_problems_f6149_0_0_Noneoftheabove,0.0,,0.0072933896,0.0,0.0072933896,0.007293389644473791,0,AD|50-70|Male|Carriers,AD,50-70,Male
